id,title,description,link,image_link,price,availability,condition,brand,google_product_category,product_type
base-153496775,一枚板 テーブル天板 無垢材｜マカバ カバ バーチ 950mm×270~305mm×28mm,マカバ カバ バーチの一枚板 950mm×270~305mm×28mm。新潟の山から自社で伐採・製材・乾燥した天然木を直販。ご希望サイズへの1カット無料・厚み調整無料。写真の現物1点をお届けします。,https://junshin.base.ec/items/153496775?utm_source=pinterest&utm_medium=catalog&utm_campaign=table,https://base-ec2.akamaized.net/images/item/origin/ecae3182c6ee4c60cf308740a7634daf.jpg,5400 JPY,in stock,new,Junshin -潤森-,Hardware > Building Materials > Lumber & Sheet Stock,一枚板テーブル天板
base-153496830,一枚板 テーブル天板 無垢材｜サクラ ヤマザクラ 山桜 チェリー 1450mm×245~370mm×30mm,サクラ ヤマザクラ 山桜 チェリーの一枚板 1450mm×245~370mm×30mm。新潟の山から自社で伐採・製材・乾燥した天然木を直販。ご希望サイズへの1カット無料・厚み調整無料。写真の現物1点をお届けします。,https://junshin.base.ec/items/153496830?utm_source=pinterest&utm_medium=catalog&utm_campaign=table,https://base-ec2.akamaized.net/images/item/origin/67a63d30f60ae216df9226488e5eabc4.jpg,10980 JPY,in stock,new,Junshin -潤森-,Hardware > Building Materials > Lumber & Sheet Stock,一枚板テーブル天板
base-153496875,棚板 カウンター材 無垢 一枚板｜ケヤキ 欅 1500mm×270mm×33mm,ケヤキ 欅の一枚板 1500mm×270mm×33mm。新潟の山から自社で伐採・製材・乾燥した天然木を直販。ご希望サイズへの1カット無料・厚み調整無料。写真の現物1点をお届けします。,https://junshin.base.ec/items/153496875?utm_source=pinterest&utm_medium=catalog&utm_campaign=shelf,https://base-ec2.akamaized.net/images/item/origin/d5085799ac34d5bbd82bf3eacee928e8.jpg,8890 JPY,in stock,new,Junshin -潤森-,Hardware > Building Materials > Lumber & Sheet Stock,棚板・カウンター材
base-153496951,一枚板 テーブル天板 無垢材｜イチョウ 銀杏 898mm×290~303mm×31mm,イチョウ 銀杏の一枚板 898mm×290~303mm×31mm。新潟の山から自社で伐採・製材・乾燥した天然木を直販。ご希望サイズへの1カット無料・厚み調整無料。写真の現物1点をお届けします。,https://junshin.base.ec/items/153496951?utm_source=pinterest&utm_medium=catalog&utm_campaign=table,https://base-ec2.akamaized.net/images/item/origin/0845df5bb8eb36cfb3120b0de5f27552.jpg,5210 JPY,in stock,new,Junshin -潤森-,Hardware > Building Materials > Lumber & Sheet Stock,一枚板テーブル天板
base-153496985,一枚板 テーブル天板 無垢材｜サクラ ヤマザクラ 山桜 チェリー 1400mm×385~470mm×49mm,サクラ ヤマザクラ 山桜 チェリーの一枚板 1400mm×385~470mm×49mm。新潟の山から自社で伐採・製材・乾燥した天然木を直販。ご希望サイズへの1カット無料・厚み調整無料。写真の現物1点をお届けします。,https://junshin.base.ec/items/153496985?utm_source=pinterest&utm_medium=catalog&utm_campaign=table,https://base-ec2.akamaized.net/images/item/origin/86a72a6e22708bad7065f68b53807de3.jpg,17700 JPY,in stock,new,Junshin -潤森-,Hardware > Building Materials > Lumber & Sheet Stock,一枚板テーブル天板
base-153497030,棚板 カウンター材 無垢 一枚板｜エンジュ 槐 1000mm×260~275mm×25mm,エンジュ 槐の一枚板 1000mm×260~275mm×25mm。新潟の山から自社で伐採・製材・乾燥した天然木を直販。ご希望サイズへの1カット無料・厚み調整無料。写真の現物1点をお届けします。,https://junshin.base.ec/items/153497030?utm_source=pinterest&utm_medium=catalog&utm_campaign=shelf,https://base-ec2.akamaized.net/images/item/origin/91b1d25f5274db3159e246c7d496cba7.jpg,8400 JPY,in stock,new,Junshin -潤森-,Hardware > Building Materials > Lumber & Sheet Stock,棚板・カウンター材
base-153497087,一枚板 テーブル天板 無垢材｜サクラ ヤマザクラ 山桜 チェリー 1300mm×460~480mm×51mm,サクラ ヤマザクラ 山桜 チェリーの一枚板 1300mm×460~480mm×51mm。新潟の山から自社で伐採・製材・乾燥した天然木を直販。ご希望サイズへの1カット無料・厚み調整無料。写真の現物1点をお届けします。,https://junshin.base.ec/items/153497087?utm_source=pinterest&utm_medium=catalog&utm_campaign=table,https://base-ec2.akamaized.net/images/item/origin/c1469c970656c06bde912616a1f3e508.jpg,17600 JPY,in stock,new,Junshin -潤森-,Hardware > Building Materials > Lumber & Sheet Stock,一枚板テーブル天板
base-153497136,棚板 カウンター材 無垢 一枚板｜イチョウ 銀杏 1148mm×262~275mm×34mm,イチョウ 銀杏の一枚板 1148mm×262~275mm×34mm。新潟の山から自社で伐採・製材・乾燥した天然木を直販。ご希望サイズへの1カット無料・厚み調整無料。写真の現物1点をお届けします。,https://junshin.base.ec/items/153497136?utm_source=pinterest&utm_medium=catalog&utm_campaign=shelf,https://base-ec2.akamaized.net/images/item/origin/33fefa858df663e7cfa1d4ce32fb27f9.jpg,7390 JPY,in stock,new,Junshin -潤森-,Hardware > Building Materials > Lumber & Sheet Stock,棚板・カウンター材
base-153497287,一枚板 テーブル天板 無垢材｜サクラ ヤマザクラ 山桜 チェリー 1200mm×320~325mm×26mm,サクラ ヤマザクラ 山桜 チェリーの一枚板 1200mm×320~325mm×26mm。新潟の山から自社で伐採・製材・乾燥した天然木を直販。ご希望サイズへの1カット無料・厚み調整無料。写真の現物1点をお届けします。,https://junshin.base.ec/items/153497287?utm_source=pinterest&utm_medium=catalog&utm_campaign=table,https://base-ec2.akamaized.net/images/item/origin/9b8eab010e66d2103bac0015ede7bb37.jpg,7060 JPY,in stock,new,Junshin -潤森-,Hardware > Building Materials > Lumber & Sheet Stock,一枚板テーブル天板
base-153497318,一枚板 テーブル天板 無垢材｜イタヤカエデ 板谷楓 メープル 1580mm×315~365mm×19mm,イタヤカエデ 板谷楓 メープルの一枚板 1580mm×315~365mm×19mm。新潟の山から自社で伐採・製材・乾燥した天然木を直販。ご希望サイズへの1カット無料・厚み調整無料。写真の現物1点をお届けします。,https://junshin.base.ec/items/153497318?utm_source=pinterest&utm_medium=catalog&utm_campaign=table,https://base-ec2.akamaized.net/images/item/origin/73018da2445987af67c34c62eaddd639.jpg,13180 JPY,in stock,new,Junshin -潤森-,Hardware > Building Materials > Lumber & Sheet Stock,一枚板テーブル天板
